entropy,has_ip,numDigits,urlLength,numParameters,numFragments,isEncoded,numEncodedChar,numberOfPeriods,urlHasPortInString,num_%20,num_@,numSubDomains,hasHttp,hasHttps,urlAge,urlIntendedLifeSpan,urlLifeRemaining,urlIsLive,daysSinceExpiration,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,sscr,sbr,bscr,numberOfWhitespace,numberOfIncludedElements,numberOfDoubleDocuments,numberOfIframes,File
-1.584962501,0,0,3,0,0,FALSE,0,0,FALSE,0,0,0,FALSE,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.797467633,0,1,29,0,0,FALSE,0,1,FALSE,0,0,2,TRUE,FALSE,55,365,309,FALSE,309,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-5.109069531,0,16,64,1,0,FALSE,0,2,FALSE,0,0,2,TRUE,FALSE,313,365,51,TRUE,51,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.929214455,0,0,31,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,57,365,307,FALSE,307,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.58418372,0,0,20,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,312,365,52,FALSE,52,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.044110418,0,0,36,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,6199,6208,9,TRUE,9,2758,1,1,2,0,733,0,0,0.265772299,0,1,0,0,tt-data/phish_links
-4.06716519,0,0,37,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3806,4017,210,TRUE,210,156,0,0,1,71,30,2.366666667,0.455128205,0.192307692,42,0,0,0,tt-data/phish_links
-4.170007272,0,0,60,0,1,FALSE,0,3,FALSE,0,1,2,FALSE,TRUE,442,730,287,TRUE,287,94238,1,1,1,11074,28702,0.385826772,0.117510983,0.304569282,0,21,0,0,tt-data/phish_links
-4.843320348,0,17,83,0,0,FALSE,0,1,FALSE,0,0,2,FALSE,TRUE,0,0,0,TRUE,0,27,1,0,0,0,4,0,0,0.148148148,0,0,0,0,tt-data/phish_links
-4.395310209,0,0,42,0,0,FALSE,0,2,FALSE,0,0,3,TRUE,FALSE,9383,0,0,TRUE,0,183,1,0,0,0,34,0,0,0.18579235,0,0,0,0,tt-data/phish_links
-4.179229297,0,0,32,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3806,4017,210,TRUE,210,1417,3,1,2,0,421,0,0,0.297106563,0,0,0,0,tt-data/phish_links
-4.197296344,0,2,63,0,0,FALSE,0,4,FALSE,0,0,4,FALSE,TRUE,6961,9862,2900,TRUE,2900,2518,1,2,1,1956,536,3.649253731,0.77680699,0.212867355,0,1,0,0,tt-data/phish_links
-4.09088138,0,0,50,0,0,FALSE,0,6,FALSE,0,0,2,TRUE,FALSE,369,731,361,TRUE,361,0,0,0,0,0,0,0,0,0,0,1,-1,1,tt-data/phish_links
